timestamp,machine_id,temperature_c,vibration_hz,cycle_time_sec,status
2026-06-23 03:42:04,Welding_Robot_2,56.62,28.54,45.77,Normal
2026-06-23 03:47:04,Welding_Robot_2,54.31,48.1,54.95,Normal
2026-06-23 03:52:04,Welding_Robot_2,59.45,22.15,50.2,Normal
2026-06-23 03:57:04,Assembly_Station_X,63.12,20.69,50.79,Normal
2026-06-23 04:02:04,Paint_Booth_A,62.68,22.91,51.39,Normal
2026-06-23 04:07:04,Paint_Booth_A,60.74,48.06,53.79,Normal
2026-06-23 04:12:04,Welding_Robot_1,44.98,38.96,58.36,Normal
2026-06-23 04:17:04,Welding_Robot_2,43.62,33.78,53.51,Normal
2026-06-23 04:22:04,Paint_Booth_A,44.93,12.04,48.0,Normal
2026-06-23 04:27:04,Assembly_Station_X,45.95,25.9,51.29,Normal
2026-06-23 04:32:04,Assembly_Station_X,48.09,36.47,59.42,Normal
2026-06-23 04:37:04,Welding_Robot_1,52.84,12.33,58.82,Normal
2026-06-23 04:42:04,Welding_Robot_2,54.84,30.18,51.05,Normal
2026-06-23 04:47:04,Assembly_Station_X,51.31,14.99,48.57,Normal
2026-06-23 04:52:04,Assembly_Station_X,53.85,40.89,56.84,Normal
2026-06-23 04:57:04,Paint_Booth_A,55.34,20.26,56.38,Normal
2026-06-23 05:02:04,Welding_Robot_1,58.04,34.47,57.64,Normal
2026-06-23 05:07:04,Welding_Robot_1,55.28,36.24,54.27,Normal
2026-06-23 05:12:04,Paint_Booth_A,54.07,23.65,57.29,Normal
2026-06-23 05:17:04,Assembly_Station_X,63.51,29.59,45.84,Normal
2026-06-23 05:22:04,Welding_Robot_1,63.51,34.23,45.71,Normal
2026-06-23 05:27:04,Welding_Robot_1,43.54,39.98,58.27,Normal
2026-06-23 05:32:04,Paint_Booth_A,52.65,29.19,59.69,Normal
2026-06-23 05:37:04,Paint_Booth_A,67.6,39.35,57.47,Normal
2026-06-23 05:42:04,Welding_Robot_2,58.24,11.79,51.45,Normal
2026-06-23 05:47:04,Welding_Robot_1,55.66,43.2,46.14,Normal
2026-06-23 05:52:04,Welding_Robot_2,46.58,19.2,47.75,Normal
2026-06-23 05:57:04,Welding_Robot_2,58.81,29.74,52.61,Normal
2026-06-23 06:02:04,Assembly_Station_X,43.06,20.97,58.74,Normal
2026-06-23 06:07:04,Welding_Robot_2,62.26,18.21,52.83,Normal
2026-06-23 06:12:04,Welding_Robot_1,58.64,14.67,52.01,Normal
2026-06-23 06:17:04,Assembly_Station_X,41.91,13.16,56.43,Normal
2026-06-23 06:22:04,Welding_Robot_1,69.98,10.36,54.45,Normal
2026-06-23 06:27:04,Assembly_Station_X,63.96,33.5,48.89,Normal
2026-06-23 06:32:04,Welding_Robot_2,59.03,22.27,52.09,Normal
2026-06-23 06:37:04,Welding_Robot_2,83.35,44.58,58.16,Anomaly
2026-06-23 06:42:04,Welding_Robot_1,58.84,26.42,47.68,Normal
2026-06-23 06:47:04,Paint_Booth_A,43.33,48.83,57.41,Normal
2026-06-23 06:52:04,Welding_Robot_2,61.88,10.93,57.89,Normal
2026-06-23 06:57:04,Welding_Robot_1,46.13,10.1,47.01,Normal
2026-06-23 07:02:04,Welding_Robot_1,45.13,31.97,53.09,Normal
2026-06-23 07:07:04,Welding_Robot_1,58.48,33.36,53.0,Normal
2026-06-23 07:12:04,Welding_Robot_2,62.95,27.27,55.83,Normal
2026-06-23 07:17:04,Assembly_Station_X,41.47,11.26,47.74,Normal
2026-06-23 07:22:04,Welding_Robot_2,52.89,38.34,46.96,Normal
2026-06-23 07:27:04,Paint_Booth_A,52.28,27.44,46.37,Normal
2026-06-23 07:32:04,Welding_Robot_1,67.97,43.16,45.3,Normal
2026-06-23 07:37:04,Welding_Robot_1,85.73,22.18,45.07,Anomaly
2026-06-23 07:42:04,Paint_Booth_A,48.84,15.73,56.26,Normal
2026-06-23 07:47:04,Welding_Robot_1,66.97,33.75,57.66,Normal
2026-06-23 07:52:04,Welding_Robot_1,45.39,43.68,45.81,Normal
2026-06-23 07:57:04,Assembly_Station_X,44.25,12.68,48.64,Normal
2026-06-23 08:02:04,Assembly_Station_X,49.15,48.62,46.53,Normal
2026-06-23 08:07:04,Assembly_Station_X,58.27,40.48,51.59,Normal
2026-06-23 08:12:04,Assembly_Station_X,68.64,39.89,53.76,Normal
2026-06-23 08:17:04,Paint_Booth_A,47.25,36.87,59.75,Normal
2026-06-23 08:22:04,Welding_Robot_2,68.49,32.46,52.08,Normal
2026-06-23 08:27:04,Welding_Robot_1,68.57,23.06,59.81,Normal
2026-06-23 08:32:04,Assembly_Station_X,41.23,25.21,58.58,Normal
2026-06-23 08:37:04,Welding_Robot_1,58.87,41.49,47.14,Normal
2026-06-23 08:42:04,Paint_Booth_A,67.75,34.33,46.67,Normal
2026-06-23 08:47:04,Assembly_Station_X,62.35,17.98,52.65,Normal
2026-06-23 08:52:04,Welding_Robot_1,55.75,38.48,46.45,Normal
2026-06-23 08:57:04,Welding_Robot_1,52.74,41.54,49.28,Normal
2026-06-23 09:02:04,Assembly_Station_X,56.6,43.21,52.84,Normal
2026-06-23 09:07:04,Welding_Robot_1,90.18,15.15,47.2,Anomaly
2026-06-23 09:12:04,Welding_Robot_1,61.8,33.15,58.71,Normal
2026-06-23 09:17:04,Welding_Robot_1,57.09,14.29,45.57,Normal
2026-06-23 09:22:04,Paint_Booth_A,68.75,19.62,55.28,Normal
2026-06-23 09:27:04,Welding_Robot_2,60.06,41.96,57.79,Normal
2026-06-23 09:32:04,Paint_Booth_A,62.86,49.78,54.49,Normal
2026-06-23 09:37:04,Welding_Robot_1,65.74,18.33,46.01,Normal
2026-06-23 09:42:04,Paint_Booth_A,49.74,14.69,57.49,Normal
2026-06-23 09:47:04,Welding_Robot_2,45.04,43.89,50.6,Normal
2026-06-23 09:52:04,Welding_Robot_2,59.42,40.99,58.33,Normal
2026-06-23 09:57:04,Paint_Booth_A,58.87,44.58,47.71,Normal
2026-06-23 10:02:04,Welding_Robot_2,65.13,49.02,59.97,Normal
2026-06-23 10:07:04,Assembly_Station_X,68.21,44.17,52.42,Normal
2026-06-23 10:12:04,Welding_Robot_2,44.16,46.24,57.53,Normal
2026-06-23 10:17:04,Paint_Booth_A,65.71,66.58,53.81,Anomaly
2026-06-23 10:22:04,Welding_Robot_2,59.44,39.56,56.64,Normal
2026-06-23 10:27:04,Welding_Robot_1,58.02,32.41,56.23,Normal
2026-06-23 10:32:04,Paint_Booth_A,58.35,36.48,45.57,Normal
2026-06-23 10:37:04,Welding_Robot_1,63.43,34.78,57.71,Normal
2026-06-23 10:42:04,Welding_Robot_2,47.57,17.59,59.53,Normal
2026-06-23 10:47:04,Welding_Robot_1,69.48,14.04,50.75,Normal
2026-06-23 10:52:04,Welding_Robot_1,43.34,20.1,53.53,Normal
2026-06-23 10:57:04,Paint_Booth_A,64.49,30.32,59.71,Normal
2026-06-23 11:02:04,Welding_Robot_2,48.82,39.08,52.41,Normal
2026-06-23 11:07:04,Welding_Robot_2,41.21,11.57,46.79,Normal
2026-06-23 11:12:04,Welding_Robot_2,66.38,11.27,53.96,Normal
2026-06-23 11:17:04,Welding_Robot_2,56.42,44.01,48.67,Normal
2026-06-23 11:22:04,Welding_Robot_1,46.68,28.0,56.03,Normal
2026-06-23 11:27:04,Welding_Robot_1,55.76,11.82,50.38,Normal
2026-06-23 11:32:04,Paint_Booth_A,60.88,47.09,48.87,Normal
2026-06-23 11:37:04,Assembly_Station_X,69.79,28.98,58.56,Normal
2026-06-23 11:42:04,Assembly_Station_X,56.99,28.8,45.56,Normal
2026-06-23 11:47:04,Welding_Robot_1,67.08,12.78,46.13,Normal
2026-06-23 11:52:04,Welding_Robot_1,68.96,45.69,54.64,Normal
2026-06-23 11:57:04,Welding_Robot_1,47.91,37.51,49.73,Normal
2026-06-23 12:02:04,Paint_Booth_A,43.82,13.07,48.55,Normal
2026-06-23 12:07:04,Paint_Booth_A,63.4,48.7,54.02,Normal
2026-06-23 12:12:04,Welding_Robot_1,85.74,12.05,48.52,Anomaly
2026-06-23 12:17:04,Welding_Robot_1,47.55,30.75,58.89,Normal
2026-06-23 12:22:04,Welding_Robot_2,44.95,30.52,59.48,Normal
2026-06-23 12:27:04,Assembly_Station_X,69.7,21.79,45.84,Normal
2026-06-23 12:32:04,Welding_Robot_2,56.97,21.56,51.08,Normal
2026-06-23 12:37:04,Assembly_Station_X,53.94,12.82,54.28,Normal
2026-06-23 12:42:04,Welding_Robot_1,55.16,23.16,49.77,Normal
2026-06-23 12:47:04,Welding_Robot_2,69.8,20.77,51.76,Normal
2026-06-23 12:52:04,Welding_Robot_1,68.93,47.37,46.81,Normal
2026-06-23 12:57:04,Welding_Robot_1,50.14,38.23,55.41,Normal
2026-06-23 13:02:04,Welding_Robot_2,46.21,17.49,49.98,Normal
2026-06-23 13:07:04,Welding_Robot_1,67.47,24.71,56.97,Normal
2026-06-23 13:12:04,Assembly_Station_X,43.3,20.26,107.89,Anomaly
2026-06-23 13:17:04,Paint_Booth_A,64.84,47.19,51.02,Normal
2026-06-23 13:22:04,Welding_Robot_1,40.71,43.11,53.78,Normal
2026-06-23 13:27:04,Paint_Booth_A,62.78,44.66,45.22,Normal
2026-06-23 13:32:04,Welding_Robot_2,46.51,45.57,56.95,Normal
2026-06-23 13:37:04,Welding_Robot_2,51.11,24.39,53.54,Normal
2026-06-23 13:42:04,Welding_Robot_1,47.12,19.54,52.94,Normal
2026-06-23 13:47:04,Welding_Robot_1,64.6,20.24,55.26,Normal
